Startup name,Allowance/Assistance Type,Industry,Woman Led(SO Recognised),Retured Assessed,Employee Cost(21),Employee Cost(22),Expences(21),Expences(22),Income Tax(21),Income Tax(22),Rank,Revenue(21),Revenue(22),SGST(21),SGST(22)
KRUSHACO SERVICES PRIVATE LIMITED,Y,AGRICULTURE,,2022,,,188781,57264,,,246,128000,0,0,0
SERENE DESIGN AND MARKETING PRIVATE LIMITED,Y,ART AND PHOTOGRAPHY,Yes,2022,96000,22500,577927,153671,,,339,562923,135532,0,0
JYOSS SERVICES PRIVATE LIMITED,,AGRICULTURE,Yes,2022,,,7749,649,,,250,201,40.49,0,0
OFFER WHIRL ONLINE SERVICES PRIVATE LIMITED,,IT SERVICES,,2022,50382,,61394,11828,,,184,22400,0,0,0
JIGSAN MERCANTILE PVT LTD,,CHEMICALS,,2022,4108951,4307674,35011311,27127330,65000,51785,166,35121610,27291994,2484120.75,1896899.55
BATTI GHAR SUSTAINABLE SOLUTIONS PRIVATELIMITED,Y,RENEWABLE ENERGY,Yes,2022,560000,76825,828535,392386,,,393,810000,314030,0,0
NVIRON CONSULTING PVT LTD,,EDUCATION,Yes,2022,410269,1190184,4045881,8357607,0,54505,20,4152543,8567239,161440.725,492542.925
DYMECHEN ENERGIES INDIA PVT LTD,,RENEWABLE ENERGY,,2022,30000,222288,84000,391193,,,342,,52643,0,0
TGGI ENERGY SOLUTIONS PRIVATE LIMITED,,GREEN TECHNOLOGY,,2022,,,21037.92,13672.04,0,,183,40372,2576,0,0
WAYINDIA SOFTWARE SOLUTION PVT. LTD.,,IT SERVICES,,2022,1192600,1732601,2544802.41,2945929.29,0,,325,2702816,1963112,52711.2,0
TSSS TECHNO SOLUTIONS PRIVATE LIMITED,,IT SERVICES,,2022,1379356,2406487,2121238,3078698,,147761,25,1934519,3535464,0,115159.8
HANS SQUAD ROBOTECH PRIVATE LIMITED,,INTERNET OF THINGS,,2022,,360000,293425,1546390,0,0,56,307669,1574643,0,0
BASAL INITIATIVES PRIVATE LIMITED,Y,AGRICULTURE,,2022,60000,60000,228770,172558,,,184,66000,0,0,0
MICROFINET TECHNOLOGIES PRIVATE LIMITED,,IT SERVICES,,2022,,,1899749,1938050,0,0,313,1901843,1942700,0,0
NEGOTRIP PVT. LTD.,Y,TRAVEL AND TOURISM,,2022,395095,957609,3446133,5662171,20298,15630,26,3492066,5694795,111904.95,277109.625
NORAH CLINICAL SOLUTION (INDIA) PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,7135439,8110976,11920113.95,11782480.84,127176,189909,167,12366842,12497110,777513.15,787283.25
VARI STUDIOS PVT LTD,Y,OTHERS,Yes,2022,135000,120722,210639,224348,,64296,138,198000,280774,0,0
ACHYUT SYSTEM AND SERVICES PRIVATE LIMITED,,ADVERTISING,,2022,606000,614000,963404,982536,2093,1775,318,971452,989365,0,0
CARLINE TECHNOLOGIES PRIVATE LIMITED,,DESIGN,Yes,2022,29887560,29935005,35084676.05,36461217.61,146754.47,237465.07,261,35649115.7,37229660,2523683.6775,2642224.5
ABODHI INFOWORLD PRIVATE LIMITED,,MEDIA AND ENTERTAINMENT,,2022,70000,934000,306504.47,1192646.58,0,0,32,315000,1250000,0,0
SIMPLEEKARE HEALTH PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,3832942,6075431,8978553,12803909,,,127,4823323,11946333,211749.225,745974.975
SS EDUVENTURES PVT. LTD.,,EDUCATION,,2022,1121800,840000,2468160,1834590,29610,54050,321,2582050,2042470,43653.75,3185.25
ACADEMY FOR MEDIA LEARNING PRIVATE LIMITED,,MEDIA AND ENTERTAINMENT,,2022,10422345,14925062,33897219,42294416,2088220,2073389,27,41785592,50080709,2983919.4,3606053.175
DSCR TECHNO SOLUTIONS PRIVATE LIMITED,Y,MARKETING,Yes,2022,116839,,532054,185671,464,,337,533542,170900,0,0
WHITESHARK ENERGY PRIVATE LIMITED,Y,RENEWABLE ENERGY,,2022,1458373,1708540,9926975,22288190,105791,180031,18,10221773,22980618,616632.975,1573546.35
ORETES CONSULTING PRIVATE LIMITED,,IT SERVICES,Yes,2022,265450,823475,1487365,1526490,,,258,1198402,1339829,0,0
LAPPY HEALTHCARE PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,Yes,2022,10000,10000,487777.06,215075.88,,,232,395616.4,130500,0,0
NEWREDMARS EDUCATION PVT LTD,,EDUCATION,,2022,36000,,179378,47898,,,201,49360,29260,0,0
NINA\'S TARKASHI PRIVATE LIMITED,,OTHERS,Yes,2022,86300,144000,536858,677032,,3387,86,534451,690428,0,0
STRATLYTICS CONSULTING PRIVATE LIMITED,,ANALYTICS,,2022,3874443,11198173,8400861,23061939,,1733830,7,7498082,29730505,412356.15,2079787.875
FARMERSPURE BIOPRODUCTS PRIVATE LIMITED,Y,AGRICULTURE,Yes,2022,248590,724488,1744242,3688971,3180,0,38,1754484,3964342,0,147325.65
HERETIQUE CONSULTING AND MANAGEMENT SERVICES PRIVATE LIMITED,,HUMAN RESOURCES,,2022,,,37144,3319343,,4755,322,,3349383,0,101203.725
UNISEL SHOPPING PVT. LTD.,,RETAIL,,2022,1247623,647792,6728262,9143757,12478,23217,39,6769828,9223565,357737.1,541767.375
PROCYTO LABS PVT. LTD,Y,HEALTHCARE AND LIFESCIENCES,Yes,2022,174000,307000,331655,997577,,,160,8658,670146,0,0
RECTOR FLAVOURS PRIVATE LIMITED,,FOOD AND BEVERAGES,,2022,1054200,670000,2879240,3194490,0,15510,148,2924250,3238270,69318.75,92870.25
ETHOUGHT TECHNOLOGIES PRIVATE LIMITED,,IT SERVICES,,2022,,,46311.61,34700,,,249,,0,0,0
SUNEMISON SOLAR ENERGY PRIVATE LIMITED,,RENEWABLE ENERGY,,2022,202000,,315586,63245,,1626,180,310520,69500,0,0
AAVRTTI TECHNOLOGIES PRIVATE LIMITED,Y,TECHNOLOGY HARDWARE,,2022,406294,418924.26,902786.58,1052161.15,,,287,900000,1000000,0,0
XIOTY SOLUTIONS PRIVATE LIMITED,Y,INTERNET OF THINGS,,2022,120000,28500,437559,182440,,365701,235,340948,0,0,0
HELEARK PROJECTS AND SOLUTIONS PRIVATE LIMITED,,GREEN TECHNOLOGY,Yes,2022,76937,723518,623017,9785415,3240,17614,151,643809,9893173,0,591987.975
PROTIONIX TECHNOLOGY,Y,EDUCATION,,2022,173320,,416780,521670,,,93,404600,516250,0,0
SMF WEBSMYLE SERVICES OPC PRIVATE LIMITED,,SOCIAL NETWORK,,2022,,,53370.99,21937.49,,,397,,1344.54,0,0
MINDBOUND CREATIVES PVT. LTD.,Y,MEDIA AND ENTERTAINMENT,Yes,2022,,,,,0,0,248,,0,0,0
YUPSERVE SERVICES PRIVATE LIMITED,,HOUSE-HOLD SERVICES,,2022,,,2965,204896,,,395,,126697,0,0
AVETI LEARNING PRIVATE LIMITED,Y,EDUCATION,,2022,2107665,2068066,4405051,5624769,,,130,2465489,5415034,34911.675,256127.55
ILASHBATI SERVICES PRIVATE LIMITED,Y,HOUSE-HOLD SERVICES,Yes,2022,2236139,1615964,3785519.16,3601151.19,,,326,2100747.12,1827771,7556.034000000,0
INFIGENT SOLUTION PRIVATE LIMITED,,MEDIA AND ENTERTAINMENT,,2022,3092385,3629477,3707727,4258723,15208,31766,104,3729262,4339201,129694.65,175440.075
EWARRANTY SOLUTIONS,,IT SERVICES,,2022,,,15609,20,,20,184,,0,0,0
GIGO TECHNOLOGIES PRIVATE LIMITED,,TRAVEL AND TOURISM,,2022,,,122060,122905,,,184,,0,0,0
SHUBHALAXMI FUTURE SOLUTIONS (OPC) PRIVATE LIMITED,Y,OTHERS,,2022,,,784584,739539,0,,332,1132203,500000,0,0
BESTBALA ONLINE SOLUTION PRIVATE LIMITED,,PROFESSIONAL AND COMMERCIAL SERVICES,Yes,2022,36000,30000,48810,48300,,,235,1114,0,0,0
LOOM FRUITS ECOGENER PVT LTD OPC,,TEXTILES AND APPAREL,,2022,,72000,340249,540540,312,5696,35,341446,565443,0,0
TETRALANCE PRIVATE LIMITED,,IT SERVICES,Yes,2022,2437717,3643415,3473602,5132016,20873,44652,156,3553883,5309453,116541.225,248208.975
WEDMIST TECHNOLOGY PRIVATE LIMITED,,HOUSE-HOLD SERVICES,,2022,142800,112800,302001,243312,863,896,231,305320,246760,0,0
BALASORE AGRO PRIVATE LIMITED,Y,AGRICULTURE,,2022,649450,700214,4188104,4506942,10778,14939,173,4231215,4554373,167341.125,191577.975
TRIPTANTRA PRIVATE LIMITED,,TRAVEL AND TOURISM,,2022,,,39372,16799,,,208,,0,0,0
MEDURIN HEALTHCARE PVT. LTD.,Y,HEALTHCARE AND LIFESCIENCES,,2022,,,77100,188838,,,57,60000,180000,0,0
SILVER PINE HOSPITALITY PRIVATE LIMITED,,TRAVEL AND TOURISM,,2022,5024000,3193000,18153000,27850000,384000,539000,12,19630000,29847000,1322250,2088525
MAKK CURATIVES (OPC) PVT LTD,,HEALTHCARE AND LIFESCIENCES,,2022,,,99091,10753,,,235,-10753,0,0,0
SWADESH INFRA MARKETING PVT LTD,,RENEWABLE ENERGY,,2022,1277717,634802,4215282,5977196,,32295,128,2186923,6329222,14019.225,324691.65
EUTHISSA CARE TECHNOLOGY PVT.LTD,,IT SERVICES,Yes,2022,698345,720334,3493298,3590154,5274,,223,3500974,3578630,112573.05,118397.25
CZARITA INDIA PRIVATE LIMITED,,TEXTILES AND APPAREL,,2022,45000,48000,157603,164606,0,4082,164,159927,180305,0,0
BORNBHUKKAD (LOVA FOODS PRIVATE LTD),,FOOD AND BEVERAGES,,2022,,,,,0,0,184,,0,0,0
BARIFLO LABS PRIVATE LIMITED,Y,AGRICULTURE,,2022,831231,1145355,2791861,3578213,,,55,1571088,2655208,0,49140.6
ARK RELUCENT SOLAR (OPC) PRIVATE LIMITED,,RENEWABLE ENERGY,Yes,2022,,,8911.8,191145.53,0,,96,13800,172852.22,0,0
NORTHROPIO TECHNOLOGIES PRIVATE LIMITED,,IT SERVICES,,2022,72000,96000,126186,182598,,,163,124650,181499,0,0
VOYZON AEROSPACE,,AERONAUTICS/AEROSPACE AND DEFENCE,,2022,2061249,240937,2856851,812749,,,235,134955,0,0,0
RADECH SOLUTIONS PRIVATE LIMITED,,INTERNET OF THINGS,,2022,445100,,1031699,46331,1364,,235,1037535,0,0,0
UNITOR TECHNOLOGY PVT LTD,,OTHERS,,2022,360000,240000,1792752,1849109,20763,24589,168,1872278,1934310,0,0
YOS HOME APPLIANCE PRIVATE LIMITED,Y,TECHNOLOGY HARDWARE,,2022,,,242748.49,420297.31,,,140,60000,420000,0,0
NGSAA CONSTRUCTION PRIVATE LIMITED,,REAL ESTATE,,2022,,,137159,27328,,,278,30552,5000,0,0
DASINGLESHWAR PRIVATE LIMITED,,OTHERS,,2022,,38535,313646.86,2061967.54,,6251,157,135308,2299955.7,0,22496.6775
TRAG SALES4YOU PVT. LTD.,,TRAVEL AND TOURISM,,2022,258176,91050,852759,198565,,,411,813550,123950,0,0
MEMORABLE HOSPITALITY PRIVATE LIMITED,,TRAVEL AND TOURISM,Yes,2022,,,18718,17552,,,58,6356,12934,0,0
DADARAHAMANJI MEAT PRIVATE LIMITED,,FOOD AND BEVERAGES,,2022,238000,514000,5202380,7598022,0,0,265,5212000,864648,240900,0
NANDA ENGINEERING KNOWLEDGE SOLUTIONS AND SERVICES PRIVATE LIMITED,,AGRICULTURE,,2022,434400,683080,1067150,1279322,16159,21750,89,1129497,1362701,0,0
CONFLUEX MARKETING PRIVATE LIMITED,,IT SERVICES,Yes,2022,20000,699800,904411,1763420,22141,38631,133,980000,1912000,0,0
HIFERK TECHNOLOGIES PRIVATE LIMITED,,OTHERS,Yes,2022,835795,3300041.9,2139040.33,14735355.18,,,125,1904750,14126558.44,0,909491.883
DAVIK FOOD AND BEVERAGES PRIVATE LIMITED,Y,FOOD AND BEVERAGES,Yes,2022,348090,110482,511006,247499,,,409,146495,135510,0,0
POC CONSULTING PVT LTD,,SOCIAL IMPACT,Yes,2022,16500,70000,56859,100196,,,396,,77500,0,0
VHN SOLAR ENERGY PVT LTD,,RENEWABLE ENERGY,,2022,,,6446165.46,9680080.13,47758.33,101217.15,53,6621621,10073469.3,346621.575,605510.1975
ENIGMA MOTORS,,AUTOMOTIVE,,2022,169500,,2155508,,,0,227,920617,0,0,0
LEGWORK SERVICES PVT.LTD,,PROFESSIONAL AND COMMERCIAL SERVICES,Yes,2022,507011,479000,1140399.71,1015653.63,,,394,195000,150000,0,0
VOYZON TECHNOLOGIES PRIVATE LIMITED,,AI,,2022,5195516,4062434,8122393,4362334,,,184,,0,0,0
ARDBERRY TECHNOLOGY PRIVATE LIMITED,,INTERNET OF THINGS,,2022,112000,144700,710974,842205,0,0,170,788730,920513,0,0
WIRSAY TECHNOLOGIES PRIVATE LIMITED,,MARKETING,,2022,,,127877,76375,,,270,119049,0,0,0
ACCVEIL SOLUTIONS PRIVATE LIMITED,,ENTERPRISE SOFTWARE,Yes,2022,2707500,3622109,47139411,87328782,85701,209148,14,47477570,88133208,3410817.75,6459990.6
VAISALI DAIRY PRIVATE LIMITED,,AGRICULTURE,Yes,2022,1446557,1271190,16791566,20823694,0,0,68,17081080,21161800,1131081,1437135
ULTIMATE MARKDOWN SERVICES PRIVATE LIMITED,,RETAIL,Yes,2022,,,5478,9856,,,420,,0,0,0
TRIPLUS SOLUTIONS PRIVATE LIMITED,,HUMAN RESOURCES,,2022,107700,24000,395154,123216,,,415,48527,25800,0,0
KAUSTAV DREAMWORKS PVT LTD,,MEDIA AND ENTERTAINMENT,Yes,2022,4486500,3386900,15464500,13493000,,,214,235300,542900,0,0
METNMAT RESEARCH PRIVATE LIMITED,Y,OTHERS,,2022,850100,124154,1536379.98,792912.22,4828,,230,1554945,500000,0,0
PROTRAINY SKILLED LEARNING PRIVATE LIMITED,,EDUCATION,,2022,,,413550,1772550,0,51014,74,484072,1933110,0,0
MACHSTATZ BUSINESS SOLUTIONS PVT LTD.,Y,INTERNET OF THINGS,,2022,1252733,1881137,3106050,5402943,,,132,843800,3950951,0,146321.325
RGB AGROTECH PRIVATE LIMITED,,AGRICULTURE,,2022,,23800,43670,165860,450,1660,36,45410,172200,0,0
LEGODESK TECHNOLOGIES PVT LTD,,IT SERVICES,,2022,638409,2120186,1461968,3200226,,,215,105713,348556,0,0
SHEKHAR TELESYSTEMS INDIA PVT. LTD,,TECHNOLOGY HARDWARE,Yes,2022,647000,96000,1399331,357950,,,335,1391747,212609,0,0
AGRISOUL ORGANICS INDIA PRIVATE LIMITED,Y,AGRICULTURE,Yes,2022,,,984858,1578620,15949,25788,76,1047492,1677780,0,0
INDNA LIFESCIENCES PVT LTD,,BIOTECHNOLOGY,,2022,10823928,22171027,61303182,86131911,2787705,2812304,4,75338331,100882436,5500374.825,7416182.7
SYFT LEARN AND EXCEL PVT LTD,,EDUCATION,Yes,2022,84000,84000,250058.6,227363.78,,,147,49455.56,155000,0,0
ASIASKILLS TALENT RESEARCH OPC PRIVATE LIMITED,,HUMAN RESOURCES,Yes,2022,,110000,7480,199470,,,283,,195000,0,0
IEAON TECH PRIVATE LIMITED,,IT SERVICES,Yes,2022,114571,,732474.08,65943.51,,,235,380387.93,0,0,0
REWOKE TECHNOLOGIES PRIVATE LIMITED,Y,INTERNET OF THINGS,,2022,2516567,5963067,4869718,12576253,68100,679028,13,5178698,15187903,238402.35,989092.725
KEABIS TECHNOLOGY PVT LTD,,IT SERVICES,Yes,2022,17077545,26521717,37606902,112364064,,597911,6,25729057,113308624,1779679.275,8348146.8
SYSORA TECHNOLOGY PRIVATE LIMITED,,IT SERVICES,,2022,,,52285,111771.02,,,270,,0,0,0
YOYO RYDRS OPC PVT LTD,,AUTOMOTIVE,,2022,101455,268522,359155.33,765238,,,404,,758148,0,0
UPSOIL TECHNOLOGIES (OPC) PRIVATE LIMITED,,AGRICULTURE,Yes,2022,1008454,1328087,3701185,2956963,71250,,400,4088991,2770694,156674.325,57802.05
MIRAQULES MEDSOLUTIONS PRIVATE LIMITED,Y,HEALTHCARE AND LIFESCIENCES,,2022,,164700,3160493,5796734,122221,,389,3630573,1483503,122292.975,0
MULTISOFT COMMUNICATIONS PRIVATE LIMITED,,IT SERVICES,Yes,2022,6493636,5868083,8610788,10632663,438021,390681,152,10296442,11481610,622233.15,711120.75
SKILLMAD TECHNOLOGIES PRIVATE LIMITED,,IT SERVICES,Yes,2022,82338,,146623,41833,,0,327,,141014,0,0
AZEEDO PRIVATE LIMITED,Y,AGRICULTURE,,2022,,22500,38727,774910.29,,2094,401,,796664.1,0,0
FULKERYA DESIGN PVT LTD,,DESIGN,Yes,2022,68400,,222889,106604,,0,336,139001,111189,0,0
WELLNESS REDEFINED SERVICES PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,99008,132097,850871,836279,0,1823,403,860635,843285,0,0
AKELA ADVENTURE PRIVATE LIMITED,,OTHERS,,2022,122450,1370500,831321,5251197,0,207002,59,934180,6071147,0,305336.025
BRAINSENSORY TECHNOLOGIES PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,,,20028,14892,,,235,,0,0,0
CONDUIT TECHNET PVT LTD,,IT SERVICES,Yes,2022,235000,578500,930591,1619011,,0,136,402257,1643842,0,0
ODICAD TECHNOLOGIES PRIVATE LIMITED,,EDUCATION,Yes,2022,,,98129.8,175327.94,0,0,162,140000,251263.69,0,0
BIOMOLICS INNOVATIONS PVT LTD,,HEALTHCARE AND LIFESCIENCES,Yes,2022,300000,,431000,205707,,,235,,0,0,0
LAANDLOAD CONSTRUCTION PRIVATE LIMITED,,CONSTRUCTION,,2022,,,25542,13200,,,270,,0,0,0
HEMBRAM ENTERPRISES PRIVATE LIMITED,,TEXTILES AND APPAREL,Yes,2022,36000,12000,223186,183670,,,182,137129,126691,0,0
NEXTPRIME LABS PRIVATE LIMITED,,ENTERPRISE SOFTWARE,,2022,,,8952,27215,750,1000,82,11545,31542,0,0
OTECH SOFT SOLUTION PRIVATE LIMITED,,IT SERVICES,,2022,26738892,31593572,96219042,177790706,543654,702305,8,98378220,180491917,7228366.5,13386893.775
